paper_id,artifact_type,artifact_path,artifact_sha256,subject_type,artifact_eligible,quality,source_map_version,extraction_contract_version,status
CUMCM-1999-A-004,paper.md,derived/scale/papers/CUMCM-1999-A-004/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-005,knowledge_card.md,derived/scale/papers/CUMCM-1999-A-005/knowledge_card.md,9651CBA506AD53676636BCAB0F55CCFACA5670924DE4CE55C03466567A0DC19C,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-005,metadata.yaml,derived/scale/papers/CUMCM-1999-A-005/metadata.yaml,FE501F796A11FE65FEAF94BC4ED6A04A1119E630234C74ACD7D48C013614BEB6,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-005,paper.md,derived/scale/papers/CUMCM-1999-A-005/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-006,knowledge_card.md,derived/scale/papers/CUMCM-1999-A-006/knowledge_card.md,BC83413181D4BFF0E031357DB30D5502F38E3E1A6ED9FEF8AEB13FDF5D599978,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-006,metadata.yaml,derived/scale/papers/CUMCM-1999-A-006/metadata.yaml,A18A057E8A4CAB21394DEC1AFF08778074290E27CAB2B074FC969EBAD5BBA588,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-006,paper.md,derived/scale/papers/CUMCM-1999-A-006/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-007,knowledge_card.md,derived/scale/papers/CUMCM-1999-A-007/knowledge_card.md,9EB252690C6F16CABF40463A3DEAAA91C38F0C8FBC7D9E86839027BDC9717A29,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-007,metadata.yaml,derived/scale/papers/CUMCM-1999-A-007/metadata.yaml,AF87D14C768851D4F0A1764D20A71AF399D723032C45364903115713D1902D60,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-007,paper.md,derived/scale/papers/CUMCM-1999-A-007/paper.md,1D9182549363CD07A8F3D657C2AD60D5197D3991577AD22ACB1BFC0A2C456E59,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-008,knowledge_card.md,derived/scale/papers/CUMCM-1999-A-008/knowledge_card.md,54DB8A51F8326B768E770B94C63CC6ABCDEC7500BA2D0812A8A139E0D4B18A3D,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-008,metadata.yaml,derived/scale/papers/CUMCM-1999-A-008/metadata.yaml,5149C36217AFF78D06A1712B234242496F6F4B8F4C5A0D96B55597DD6A0D8738,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-A-008,paper.md,derived/scale/papers/CUMCM-1999-A-008/paper.md,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-001,knowledge_card.md,derived/scale/papers/CUMCM-1999-B-001/knowledge_card.md,A0F115A53BD05F6B8AB6C0FC54BA4D52DB749905096890E653EB283A2642F08D,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-001,metadata.yaml,derived/scale/papers/CUMCM-1999-B-001/metadata.yaml,485399F6C6C28B0C2284DFB4D72F3A0C54620057101B57F6E17D682210712879,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-001,paper.md,derived/scale/papers/CUMCM-1999-B-001/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-002,knowledge_card.md,derived/scale/papers/CUMCM-1999-B-002/knowledge_card.md,8239390480FC19B5B9F2B5574B08B48E323C44E234E55EB4FB7AE8FAAB6A8A5A,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-002,metadata.yaml,derived/scale/papers/CUMCM-1999-B-002/metadata.yaml,99CBE06BFCCA924E5DFFF8040ABAC6F8D7319CFD1DB973EF365DD0CEE02EABE9,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-002,paper.md,derived/scale/papers/CUMCM-1999-B-002/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-003,knowledge_card.md,derived/scale/papers/CUMCM-1999-B-003/knowledge_card.md,2C773CDED137BCF5E8636ADE03522F6EF7D774D5B96C018BBDB6ADF695EB792C,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-003,metadata.yaml,derived/scale/papers/CUMCM-1999-B-003/metadata.yaml,32C0EFA5095A9A6FCE8D89DE820978C59A6B6E83EF55CDB89E419C2D22034EA0,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-003,paper.md,derived/scale/papers/CUMCM-1999-B-003/paper.md,3556B4100929F4D56319AA760B104EE0CA947F3D5B03F13F7A0DF601179225BE,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-004,knowledge_card.md,derived/scale/papers/CUMCM-1999-B-004/knowledge_card.md,D5F5AB22D4DCBA3A2FD97D6FD45B766C0E0AC2D7E65D5AC267251C5F0BBFBD02,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-004,metadata.yaml,derived/scale/papers/CUMCM-1999-B-004/metadata.yaml,FC71DE9AA39C41F8FE40A60B280E24B9ABFF9A5523465751DCEE4F81306F878A,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-004,paper.md,derived/scale/papers/CUMCM-1999-B-004/paper.md,845EAC42B8D7C797245E742A556F6F7B87F8594979C758FB43031CD6D48DB563,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-005,knowledge_card.md,derived/scale/papers/CUMCM-1999-B-005/knowledge_card.md,3C3CD4B36F07C6711652AFE5F242A2DC329573AD60A14A5D5D71C95B2B9E861A,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-005,metadata.yaml,derived/scale/papers/CUMCM-1999-B-005/metadata.yaml,00E876C793F5A0EE3AE6BA6A7ECD89572BB7A708E3804892741283477E28E152,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-B-005,paper.md,derived/scale/papers/CUMCM-1999-B-005/paper.md,D2C2B9A9C3053CBA6E8268335CA5BE7D0214F512AC81C7C8AE6302E692F1088E,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-C-001,knowledge_card.md,derived/scale/papers/CUMCM-1999-C-001/knowledge_card.md,A673422F702325110A203B7E21AF2E2AC8686B73F3190BC7E7DA3FABA57AEF56,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
CUMCM-1999-C-001,metadata.yaml,derived/scale/papers/CUMCM-1999-C-001/metadata.yaml,A40A49959BDE2B4A5017BEC2BAE23B3E3204FB406A7A08DDA1FCC56E9426C4FF,PAPER,1,Q0,g8_file_source_map.csv,1,PASS
