paper_id,attempt,logical_page_number,page_class,text_layer_present,ocr_route_required,text_chars,text_sha256,rendered_for_classification,nonwhite_ratio
CUMCM-2014-D-003,VALIDATION,14,TEXT_PAGE,1,0,2646,714975685DFD2F9E3C7570F64676B1EC8B79A838F51A7C77AD7C10BCA764F77F,0,
CUMCM-2014-D-003,VALIDATION,15,TEXT_PAGE,1,0,2628,E8F5E60A9C8C6E9EAD2ECB248D2516194470CDDBE136D94BACB4C66FCB99C845,0,
CUMCM-2014-D-003,VALIDATION,16,TEXT_PAGE,1,0,2247,17190966FC281DD11B32C426068F81FD2921EC705DAEA586E582DF6F65D0FAC3,0,
CUMCM-2014-D-003,VALIDATION,17,TEXT_PAGE,1,0,780,5B5178640E1764E51E09B27A94F35622BE893EB35543B5FB12FC7CF0E06F7C8F,0,
CUMCM-2014-D-003,VALIDATION,18,TEXT_PAGE,1,0,573,4F72773B11F43B247DBED0FB3D8CF8A331F1557B93D09F3E6DB25BBBC81DE773,0,
CUMCM-2014-D-003,VALIDATION,19,TEXT_PAGE,1,0,666,BC80BC6BE404A465C49658ED4BD2FEF6E64F6E0DCAC6A5D97E5EA62DAC58B95E,0,
CUMCM-2014-D-003,VALIDATION,20,TEXT_PAGE,1,0,1622,0E5D9BEDD058D9C2F467148CE6D72C06A3409718578205A49F029B9BD8D3BE20,0,
CUMCM-2014-D-003,VALIDATION,21,TEXT_PAGE,1,0,1622,7B071A71952DF392194FD51D176009E14FD00E91A011FA776FEE1F75BE2EE122,0,
CUMCM-2014-D-003,VALIDATION,22,TEXT_PAGE,1,0,1055,C051168F842171129F7B6439251335CFAA70616741C51849842B388FF917E673,0,
CUMCM-2014-D-003,VALIDATION,23,TEXT_PAGE,1,0,670,CEE7E188B5E8E6A1CE444881E7E7AC622B6DEFC45F1969B085DD07CA5A797900,0,
CUMCM-2014-D-003,VALIDATION,24,TEXT_PAGE,1,0,780,70E841028E971BFA2120F150DC7EBE1B5716ED3F5B1E8530C467E522FECE332B,0,
CUMCM-2014-D-003,VALIDATION,25,TEXT_PAGE,1,0,602,BE7D11C701D8BFBD93B2A181EAD33033B86689F930FD19F753FE20F83F0526EE,0,
CUMCM-2014-D-003,VALIDATION,26,TEXT_PAGE,1,0,799,D8F13A1D1BF11D519CF7B6BA71EBFF37E378A2141E2339ACED5682B72C0BC214,0,
CUMCM-2014-D-003,VALIDATION,27,TEXT_PAGE,1,0,694,E3FF3D8AE45C073C63FF9C575C2969AED14D69BEB89B771748859F8B5E3BC9E7,0,
CUMCM-2014-D-003,VALIDATION,28,TEXT_PAGE,1,0,729,8C804D5DF3B4CE83579CDF5B654600FA634D413213EE957B7C0CBFEE9B2314F3,0,
CUMCM-2014-D-003,VALIDATION,29,TEXT_PAGE,1,0,875,BEB3413FC819E3F8A45A6979CB02AA369145CF70D3F8B8F5C3454B474F598D6A,0,
CUMCM-2014-D-003,VALIDATION,30,TEXT_PAGE,1,0,744,E14BF7D380D0B0E81AE56B2546238BC569F37F1E10CC39740A6A43D1732933A7,0,
CUMCM-2014-D-003,VALIDATION,31,TEXT_PAGE,1,0,706,C5AC1D564B3F90FAE287A479FA22C70308EE211D9B1732F1E71CFE9A94BF170A,0,
CUMCM-2014-D-003,VALIDATION,32,TEXT_PAGE,1,0,944,7127B672D2ACFCBA659FBA922B054336BC5674CD4611F060E45DB911A274043A,0,
CUMCM-2014-D-003,VALIDATION,33,TEXT_PAGE,1,0,677,4F5795571A8FDB4A5FBFDA9CF37845B263723A583CB8DAD50BA60C8F69240D5A,0,
