paper_id,sequence_number,status,error_code,stage_path,canonical_path,staged_primary_artifact_count,stage_structure_status,stage_hash_status,identity_binding_status,provenance_status,source_body_binding_status,duplicate_id_status,duplicate_path_status,promoted,post_promotion_status,registry_registered,started_at,finished_at
CUMCM-1997-A-001,29,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-A-001,derived/scale/papers/CUMCM-1997-A-001,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.402+00:00,2026-09-03T07:15:37.388+00:00
CUMCM-1997-A-002,30,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-A-002,derived/scale/papers/CUMCM-1997-A-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.442+00:00,2026-09-03T07:15:37.399+00:00
CUMCM-1997-A-003,31,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-A-003,derived/scale/papers/CUMCM-1997-A-003,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.478+00:00,2026-09-03T07:15:37.409+00:00
CUMCM-1997-A-004,32,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-A-004,derived/scale/papers/CUMCM-1997-A-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.510+00:00,2026-09-03T07:15:37.419+00:00
CUMCM-1997-A-005,33,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-A-005,derived/scale/papers/CUMCM-1997-A-005,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.538+00:00,2026-09-03T07:15:37.430+00:00
CUMCM-1997-A-006,34,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-A-006,derived/scale/papers/CUMCM-1997-A-006,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.567+00:00,2026-09-03T07:15:37.442+00:00
CUMCM-1997-A-007,35,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-A-007,derived/scale/papers/CUMCM-1997-A-007,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.594+00:00,2026-09-03T07:15:37.453+00:00
CUMCM-1997-B-001,36,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-B-001,derived/scale/papers/CUMCM-1997-B-001,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.621+00:00,2026-09-03T07:15:37.463+00:00
CUMCM-1997-B-002,37,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-B-002,derived/scale/papers/CUMCM-1997-B-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.648+00:00,2026-09-03T07:15:37.474+00:00
CUMCM-1997-B-003,38,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-B-003,derived/scale/papers/CUMCM-1997-B-003,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.673+00:00,2026-09-03T07:15:37.484+00:00
CUMCM-1997-B-005,39,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-B-005,derived/scale/papers/CUMCM-1997-B-005,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.699+00:00,2026-09-03T07:15:37.494+00:00
CUMCM-1997-B-006,40,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1997-B-006,derived/scale/papers/CUMCM-1997-B-006,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.723+00:00,2026-09-03T07:15:37.504+00:00
CUMCM-1998-A-002,41,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1998-A-002,derived/scale/papers/CUMCM-1998-A-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.747+00:00,2026-09-03T07:15:37.515+00:00
CUMCM-1998-A-003,42,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1998-A-003,derived/scale/papers/CUMCM-1998-A-003,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.771+00:00,2026-09-03T07:15:37.526+00:00
CUMCM-1998-A-004,43,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1998-A-004,derived/scale/papers/CUMCM-1998-A-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.797+00:00,2026-09-03T07:15:37.536+00:00
CUMCM-1998-A-006,44,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1998-A-006,derived/scale/papers/CUMCM-1998-A-006,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.822+00:00,2026-09-03T07:15:37.547+00:00
