paper_id,change_type,expected,status,old_record_sha256,new_record_sha256,notes
CUMCM-1999-A-005,ADDED,1,EXPECTED,,DDA29C8A130F7B194A127D4C3FD4922952F23B93175ABAF1B082403F5A3D5FB8,new formal index creation
CUMCM-1999-A-006,ADDED,1,EXPECTED,,17962DD3E95B6CA8F84ED4850A8411164297FB212DECA1D1FA72720D13585C3C,new formal index creation
CUMCM-1999-A-007,ADDED,1,EXPECTED,,FCEA6C74804D653AA1125156F5F72EC06F3FBDB65D6F8AF6B757896493B6B097,new formal index creation
CUMCM-1999-A-008,ADDED,1,EXPECTED,,F34E4B97DB450E2EC697CB43B24111B29C3B2CFFEA6A9967EC50613C404307BF,new formal index creation
CUMCM-1999-B-001,ADDED,1,EXPECTED,,E99B366F5C2ABAE65B0FB9B5998CFC3AB2526FFC1A72BD2838BD14ADBB96B69F,new formal index creation
CUMCM-1999-B-002,ADDED,1,EXPECTED,,D8F05EC7D8A76F9E52A27BFC78565063B25AE95E52766A15603C896BE698CB04,new formal index creation
CUMCM-1999-B-003,ADDED,1,EXPECTED,,35513797B5001932F7EECFED7F16CE8F1DA35ADC10295907F2B7C768246A24F7,new formal index creation
CUMCM-1999-B-004,ADDED,1,EXPECTED,,6801DEF5C2DE7F39AFBF39432A0E01536DC5964C223530899206BEEC477358D0,new formal index creation
CUMCM-1999-B-005,ADDED,1,EXPECTED,,F3AF90E151F7F9FCE99ACA93275E1A8637EBCEAEDFA078E96BD255762412EBD5,new formal index creation
CUMCM-1999-C-001,ADDED,1,EXPECTED,,09537CB5AE7B51E843035143938DDC592B8B012812CCFFB5FE0755EBBA36277E,new formal index creation
CUMCM-1999-C-002,ADDED,1,EXPECTED,,CAE3B34D8155CE3A6BCDB76F3CB1BF28748691EFA0BFBACCA93D4EBAEA2EC57C,new formal index creation
CUMCM-1999-C-003,ADDED,1,EXPECTED,,06D47C80151FEF7619C34CAA1BED242FFBD498A332BF4B2C2C1EDF2A314B0DB2,new formal index creation
CUMCM-2000-A-001,ADDED,1,EXPECTED,,3BD5BC6B624EDD4518DD52CB38F29C0FA27FC39E140CB4743296F7ED52CBD29D,new formal index creation
CUMCM-2000-A-002,ADDED,1,EXPECTED,,8F59E3BB8CFF8712AB3579278D7589A6086CDEB3CD2B6218B5204471B7B055FD,new formal index creation
CUMCM-2000-A-003,ADDED,1,EXPECTED,,950962CC72BBBCC0458B5EB16746E4EBEF17BF3EF85E86577F9AE083445EB528,new formal index creation
CUMCM-2000-A-004,ADDED,1,EXPECTED,,4DB9D338E99C62470FCEAC53E695F7A91549D641F9A17C9FAC432F0D48A96771,new formal index creation
CUMCM-2000-A-005,ADDED,1,EXPECTED,,86982818B1C72F2A1305C55F977370242545A330C0C0DEC0CD07518FF8AABA0F,new formal index creation
CUMCM-2000-A-006,ADDED,1,EXPECTED,,A85407CBA5E3C40843B6A1F826DC851E4FB42F17658BF0CD18E4D8A8A97E4534,new formal index creation
CUMCM-2000-B-001,ADDED,1,EXPECTED,,FA1BA627B5A2EA782ECB4AAB13E7F9D9DFE4D7EA894531AFA7B9E22F1C722E48,new formal index creation
CUMCM-2000-B-002,ADDED,1,EXPECTED,,D8D3FF33647621CFAA2320AE4C2CAF8D6BBDEC1D163D2F73D32494D1CC38C943,new formal index creation
CUMCM-2000-B-003,ADDED,1,EXPECTED,,E6C5AB49E83D714666CF1B09092146B4291D5F0586650229F4FED3BDAE0C9267,new formal index creation
CUMCM-2000-B-004,ADDED,1,EXPECTED,,19D0C8EF61009AC902DB7657C86F017D4E655C2F3C29B2D121FF0265D7EB1D43,new formal index creation
CUMCM-2000-B-005,ADDED,1,EXPECTED,,0C3D6F4EB3E39A71D4BF0050B0993406A1FB51660CC690630995F0D25C887254,new formal index creation
CUMCM-2000-B-006,ADDED,1,EXPECTED,,CBAA22FE915C0E3CF8DAA09D3200D7D4AF95748ADF69E6471DC176EDD620074A,new formal index creation
CUMCM-2000-B-007,ADDED,1,EXPECTED,,BE35A08601B07E7F3C125953D0A5408440CC2A8316E693C54CF236A7D6BD4E5A,new formal index creation
CUMCM-2000-B-008,ADDED,1,EXPECTED,,BAAC4F16DD6F0737EC417F26849DB6C931E8769A91534CE155EEA560C04384F4,new formal index creation
