paper_id,attempt,logical_page_number,page_class,text_layer_present,ocr_route_required,text_chars,text_sha256,rendered_for_classification,nonwhite_ratio
CUMCM-2011-C-002,VALIDATION,9,TEXT_PAGE,1,0,468,66FF3BC314DE7AC0F5D1436363DD84B802B744D18F118077441D0FED9DDDAD7F,0,
CUMCM-2011-C-002,VALIDATION,10,TEXT_PAGE,1,0,635,6255E7DD255080AAAFCB2B5154AA450EFB65D1E9B0E330AA19757CE524F7EE22,0,
CUMCM-2011-C-002,VALIDATION,11,TEXT_PAGE,1,0,680,1B61B5F31AC41C3B5FD03F9310ADA4A8A9125F8594774F85724AC00DD53FA6DC,0,
CUMCM-2011-C-002,VALIDATION,12,TEXT_PAGE,1,0,1015,437B54BDD1FFFAF4FD450F03F8E355DA9C4A5E6F4743B14F34868BA4B5F06C02,0,
CUMCM-2011-C-002,VALIDATION,13,TEXT_PAGE,1,0,783,E8C46AC8A6826B42AF5CEFA790C84ACF9F188E55B09219669CBACF2E5BD94D9D,0,
CUMCM-2011-C-002,VALIDATION,14,TEXT_PAGE,1,0,866,1DBFDF37D0EDF90DCEA3C85335D235D495ED51FE2CAEF5038FC7C5184905878F,0,
CUMCM-2011-C-002,VALIDATION,15,TEXT_PAGE,1,0,718,A56ED8F02FEBBA077481F5C815D3C8699724CDCB0B802850FC48A229B2366895,0,
CUMCM-2011-C-002,VALIDATION,16,TEXT_PAGE,1,0,450,80EE4A085D1940E92428F3E64604DF54287A23E029E872D5BBFEC1A87FCA6177,0,
CUMCM-2011-C-002,VALIDATION,17,TEXT_PAGE,1,0,831,B30942B494AA682D5506EB44B7F633899DD1A98F1B2E90D7B897863F66AA89EC,0,
CUMCM-2011-C-002,VALIDATION,18,TEXT_PAGE,1,0,762,735DD961C2442F6EE23FE06AE58CA604B9AEDAA311C0F1A243D0AA7F659067BD,0,
CUMCM-2011-C-002,VALIDATION,19,TEXT_PAGE,1,0,513,45F68E59FD24BEB6B21984753C496683667FD3267FBDE9C9DEF2B6FE4A0B0BDC,0,
CUMCM-2011-C-002,VALIDATION,20,TEXT_PAGE,1,0,1040,46DC48FE491466A5D4498C46636B125F1C7EAC9C633A21468653A7F71411B135,0,
CUMCM-2011-C-002,VALIDATION,21,TEXT_PAGE,1,0,1127,11523983962AAA57D25B2086C36C74A2317BACAC9EDB05F509A3DF698AC00880,0,
CUMCM-2011-C-002,VALIDATION,22,TEXT_PAGE,1,0,653,2357E444F0C6A90C2ADEC60EDF1123B6F52EA1961724D4FD720843370D332546,0,
CUMCM-2011-C-002,VALIDATION,23,TEXT_PAGE,1,0,740,8DC55FFE79905C80FAAE6BA6FE9657DD9574328FEDEE7845CB5F69272AD1BFDB,0,
CUMCM-2011-C-002,VALIDATION,24,TEXT_PAGE,1,0,792,7D851B3767A0DA21FF3A201E4521BCB23821AF2DCE4813AF76EFE14E950F5D87,0,
CUMCM-2011-C-002,VALIDATION,25,TEXT_PAGE,1,0,1021,EF2E0F5388361A922587B1FF9234BA8EAD198D605F3AEB7732E161ADA240A593,0,
CUMCM-2011-C-002,VALIDATION,26,TEXT_PAGE,1,0,838,F1E99BDF7C6DDDF11ABCB7FBF0B10F83AD13269CB91835CA7D6561E28A4EE989,0,
CUMCM-2011-C-002,VALIDATION,27,TEXT_PAGE,1,0,998,B8B02F8FD1145F75F3D1F363EB33052C36AB9D941F0085C287261BAD5ABDC7EB,0,
CUMCM-2011-C-002,VALIDATION,28,TEXT_PAGE,1,0,1268,20B6A5444243D85B2D01F0B23F4B6B90E173D99A9664D1F76E16A02DCEEAFDB6,0,
CUMCM-2011-C-002,VALIDATION,29,TEXT_PAGE,1,0,652,852AE4C2ADA9BBBDB9AD7111E9444E63C7C22264D4DD83D605CC12C84D094E1E,0,
CUMCM-2011-C-002,VALIDATION,30,TEXT_PAGE,1,0,1204,B8EB8ADA4669A2BFBF3B2AAB4354760DBB4943D259759860C5AAE7D0A6680F07,0,
CUMCM-2011-C-002,VALIDATION,31,TEXT_PAGE,1,0,1154,96DA463C3B45771C89AF73E3C19B55484F68F20E62D1A4B69DA7656DCFEE818E,0,
CUMCM-2011-C-002,VALIDATION,32,TEXT_PAGE,1,0,772,BF90059D1CCB35C1F2550DF288C4903414AB78C78E9F6E1C37A316FFAE253101,0,
CUMCM-2011-C-002,VALIDATION,33,TEXT_PAGE,1,0,1037,94C3F5D8D07E076CB9B151EEE4C9496F04EF249C2A5051B43F3CCB3316674FE6,0,
CUMCM-2011-C-002,VALIDATION,34,TEXT_PAGE,1,0,938,8755B9FA40B77D96991549B9E81A00C9BE865F3B85FCF494C7DBAD04D003E702,0,
CUMCM-2011-C-002,VALIDATION,35,TEXT_PAGE,1,0,1206,DF534C66C0913CD8FE5BF08A2EADDCB2098236FEB7C740B37D9AB7159F318E25,0,
CUMCM-2011-C-002,VALIDATION,36,TEXT_PAGE,1,0,687,C9F81A8E9784205392C94AFA6C02613FAF8A99A950033F1AB3F16D1E69E83D19,0,
CUMCM-2011-C-002,VALIDATION,37,TEXT_PAGE,1,0,1171,EA0B6E1E2FF1C1077BB80C4EB6CA99E1727CE9F64B18B7A4053DC5F205746A5F,0,
CUMCM-2011-C-002,VALIDATION,38,TEXT_PAGE,1,0,759,13A15A98DD4615D17A06F77A2F8C439D5BA07A3ECD91A0B107C415D9FB9AC72A,0,
CUMCM-2011-C-002,VALIDATION,39,TEXT_PAGE,1,0,1144,35ED7E82A8CF6C62C16489063659D074C280EF8E98D81DC6DF05AFFB31E1C449,0,
CUMCM-2011-C-002,VALIDATION,40,TEXT_PAGE,1,0,1143,AB33E3D3C81FBC18D54A8305505CBD9ADE266CFEE7E0A4273E34731F0BA899CB,0,
CUMCM-2011-C-002,VALIDATION,41,TEXT_PAGE,1,0,770,672A3069FF0E29B8EFCB68EDC5D6566D04375EF7EDDAA2067361B2A67E810FC0,0,
CUMCM-2011-C-002,VALIDATION,42,TEXT_PAGE,1,0,141,D72A64D26221B2D62B001653DE1FE772CE18FE2CB642FE2692A07C8F36ABA8E3,0,
CUMCM-2013-D-001,PRIMARY,1,TEXT_PAGE,1,0,1153,B8707BB2E54E7EDA170A954183DFFE6F565EE848573C3D95EDE64FBD797C3474,0,
CUMCM-2013-D-001,PRIMARY,2,TEXT_PAGE,1,0,821,D730AD960B5E81233044A765FBEA55588B14F38B223BC2A3E292452E96CF9939,0,
CUMCM-2013-D-001,PRIMARY,3,TEXT_PAGE,1,0,1019,6799D1FF163BFF4721BDB388F4FD0B117C6A3B4949166046679D39A378DD4DBE,0,
CUMCM-2013-D-001,PRIMARY,4,TEXT_PAGE,1,0,899,1FECFF1BC46933191BA49E80C0BC42736EB6C26C7D16F00F469FF0EE3474137A,0,
