batch_attempt_id,paper_id,sequence_number,status,error_code,primary_error_code,cleanup_error_code,source_gate_status,page_count,ocr_required,ocr_completed,body_quality_status,content_sanity_status,provenance_status,persistence_status,reused,started_at,finished_at
20260902T181812821882_f3ed3664,CUMCM-2004-A-003,64,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.495654+00:00,2026-09-02T18:18:17.537601+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-A-004,65,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.554192+00:00,2026-09-02T18:18:17.600656+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-A-005,66,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.617395+00:00,2026-09-02T18:18:17.677429+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-B-002,67,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.694075+00:00,2026-09-02T18:18:17.757277+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-B-003,68,PASS,,,,PASS,14,14,14,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.774391+00:00,2026-09-02T18:18:17.856353+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-B-004,69,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.873316+00:00,2026-09-02T18:18:17.926472+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-B-005,70,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:17.946883+00:00,2026-09-02T18:18:18.002691+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-B-006,71,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.021431+00:00,2026-09-02T18:18:18.079176+00:00
20260902T181812821882_f3ed3664,CUMCM-2004-B-007,72,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.100576+00:00,2026-09-02T18:18:18.176144+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-A-005,73,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.198126+00:00,2026-09-02T18:18:18.260241+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-A-008,74,PASS,,,,PASS,8,8,8,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.280685+00:00,2026-09-02T18:18:18.342409+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-A-009,75,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.358937+00:00,2026-09-02T18:18:18.406941+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-A-012,76,PASS,,,,PASS,10,10,10,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.423693+00:00,2026-09-02T18:18:18.487014+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-A-015,77,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.504245+00:00,2026-09-02T18:18:18.549003+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-B-005,78,PASS,,,,PASS,9,9,9,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.567191+00:00,2026-09-02T18:18:18.622575+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-B-007,79,PASS,,,,PASS,4,4,4,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.640216+00:00,2026-09-02T18:18:18.674565+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-B-010,80,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.693337+00:00,2026-09-02T18:18:18.743324+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-C-001,81,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.760840+00:00,2026-09-02T18:18:18.812015+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-C-002,82,PASS,,,,PASS,7,7,7,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.829454+00:00,2026-09-02T18:18:18.875309+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-C-003,83,PASS,,,,PASS,11,11,11,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.892625+00:00,2026-09-02T18:18:18.952929+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-D-001,84,PASS,,,,PASS,9,9,9,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:18.971104+00:00,2026-09-02T18:18:19.033929+00:00
20260902T181812821882_f3ed3664,CUMCM-2007-D-002,85,PASS,,,,PASS,6,6,6,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:19.052913+00:00,2026-09-02T18:18:19.095110+00:00
20260902T181812821882_f3ed3664,CUMCM-2008-A-001,86,PASS,,,,PASS,34,34,34,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:19.111800+00:00,2026-09-02T18:18:19.299950+00:00
20260902T181812821882_f3ed3664,CUMCM-2008-A-005,87,PASS,,,,PASS,14,14,14,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:19.322822+00:00,2026-09-02T18:18:19.428125+00:00
20260902T181812821882_f3ed3664,CUMCM-2008-A-006,88,PASS,,,,PASS,11,11,11,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:19.452092+00:00,2026-09-02T18:18:19.526804+00:00
20260902T181812821882_f3ed3664,CUMCM-2009-C-001,89,PASS,,,,PASS,17,17,17,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:19.548683+00:00,2026-09-02T18:18:19.659171+00:00
20260902T181812821882_f3ed3664,CUMCM-2009-C-002,90,PASS,,,,PASS,15,15,15,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:19.675302+00:00,2026-09-02T18:18:19.770421+00:00
20260902T181812821882_f3ed3664,CUMCM-2009-C-003,91,PASS,,,,PASS,11,11,11,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:19.788123+00:00,2026-09-02T18:18:19.861269+00:00
20260902T181812821882_f3ed3664,CUMCM-2009-C-004,92,PASS,,,,PASS,18,18,18,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:19.879358+00:00,2026-09-02T18:18:19.974099+00:00
20260902T181812821882_f3ed3664,CUMCM-2009-C-006,93,PASS,,,,PASS,15,15,15,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:19.992038+00:00,2026-09-02T18:18:20.069367+00:00
20260902T181812821882_f3ed3664,CUMCM-2009-D-002,94,PASS,,,,PASS,16,16,16,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:20.086837+00:00,2026-09-02T18:18:20.161041+00:00
20260902T181812821882_f3ed3664,CUMCM-2009-D-003,95,PASS,,,,PASS,18,18,18,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:20.182258+00:00,2026-09-02T18:18:20.273167+00:00
20260902T181812821882_f3ed3664,CUMCM-2009-D-004,96,PASS,,,,PASS,15,15,15,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:20.290757+00:00,2026-09-02T18:18:20.359040+00:00
20260902T181812821882_f3ed3664,CUMCM-2009-D-005,97,PASS,,,,PASS,21,21,21,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:20.451664+00:00,2026-09-02T18:18:20.627309+00:00
