paper_id,change_type,expected,status,old_record_sha256,new_record_sha256,notes
CUMCM-2000-B-006,CHANGED,1,EXPECTED,CBAA22FE915C0E3CF8DAA09D3200D7D4AF95748ADF69E6471DC176EDD620074A,E86926BA60C8FBC0D7CB69FE995D4C7E2680B8413F50FF96C595D7F190472939,G11 repaired formal artifact projection refresh
CUMCM-2000-B-007,CHANGED,1,EXPECTED,BE35A08601B07E7F3C125953D0A5408440CC2A8316E693C54CF236A7D6BD4E5A,A4A49AEB62A1A741A67BDC4D05733CCAE84B691E6FDF10A9434DD45DCC39AF63,G11 repaired formal artifact projection refresh
CUMCM-2000-B-008,CHANGED,1,EXPECTED,BAAC4F16DD6F0737EC417F26849DB6C931E8769A91534CE155EEA560C04384F4,E09F1D40D145DFC5679AD62831077C35F62CACB8AF72A98987F693EA8023A74A,G11 repaired formal artifact projection refresh
CUMCM-2000-C-001,CHANGED,1,EXPECTED,978630E97839DEAE5669F61628605D415D2B2D5128A41DC9F0FD1CA68B5985DD,1FC12F31DAB8EBFF1B26421EAAB67CFEA76F7509E6038BAD2A76B3ABF0486FCC,G11 repaired formal artifact projection refresh
CUMCM-2000-C-002,CHANGED,1,EXPECTED,21D5A9BB85042A6B9555523D29B1E968BCE55E0EF29FCF84D3136A4CFEBDC9D7,F79080D1F71418028B6E674A675AE47A82B4FE4A940E3C3E2DC080801317EE1A,G11 repaired formal artifact projection refresh
CUMCM-2000-C-003,CHANGED,1,EXPECTED,BCCD78EE4CFC7DA91829738BC5DCC7C4336BF1EC03891D4BB66F2D3DBDB687B3,930F608D738B5086AADCBDAD5AC57ACF944C02121EFEE340EDB71E4B354D1A3C,G11 repaired formal artifact projection refresh
CUMCM-2000-C-004,CHANGED,1,EXPECTED,B7D541B802228E8FD8B49F0E907B1405CDDC2F8DF0CD91BE3EF0B2D08B58B979,DB1CFEDBB58963D718ACA7862524676F888C5F0557811ABEF75F7D029AEB017D,G11 repaired formal artifact projection refresh
CUMCM-2000-D-001,CHANGED,1,EXPECTED,B42BB73D235CDD4DFD9335632ECF2BBC2B6D86B7FCFB4AA2216A1B97D464F4CD,80889909DC778DF7C108A11656F68D80D5342DE69CB9F9A1594A4D94BD45464D,G11 repaired formal artifact projection refresh
CUMCM-2000-D-002,CHANGED,1,EXPECTED,98FE0B7E50789AAA484EE8873A4EFFB4B060AD9D66EECF323CC3C1A4E79D5A65,C0C0E1FD7A5A1D88E3B749758C258CB7261BFBDEE165F32D0AAE29987ED7FEAD,G11 repaired formal artifact projection refresh
CUMCM-2000-D-003,CHANGED,1,EXPECTED,C63284F7281CA8942123C3264B197456B3B22BD523BFCDD1A5FC9006B0DE6797,3FF5D5D44FD6DEA7350F36786A3A327929CCB30F1266B1766AF56F4B7C751F8B,G11 repaired formal artifact projection refresh
CUMCM-2001-A-001,CHANGED,1,EXPECTED,13F3CB1CFBD88D0DB5648E7DF827DA06425EB48ED78104B6862870454A3EB1A3,7D273202BB7BA24561FB4B02EE5B5A93388D75A213AFE473A8342489D289D7D2,G11 repaired formal artifact projection refresh
CUMCM-2001-A-002,CHANGED,1,EXPECTED,52659FA83988A802B0A28B8B849DBCD64D80B1BB44D2C9DF1494D3F880511419,2291894DCB8E11CE295C465A0D66738523C72C3BE1EBA8F821DAE48AD85EABD4,G11 repaired formal artifact projection refresh
CUMCM-2001-A-003,CHANGED,1,EXPECTED,9531B3A9E9C596039658EEEDB64FF1AC484C9C49C33997B0E622D3D71EE6A565,5445454EABAF829AB869718410AD5C3ECC82437D88BF7AFA2CA74C87D6684AA0,G11 repaired formal artifact projection refresh
CUMCM-2001-A-004,CHANGED,1,EXPECTED,1CCF1EAB81B029E8B811A0A8D042042EF984C739B13E49D5CAFB537B094A3CFC,9072618079A809830BA04CDE0F6853C1EE08BC09DA3A2C295DC25ACEA75C7B92,G11 repaired formal artifact projection refresh
CUMCM-2001-A-005,CHANGED,1,EXPECTED,E9914A30789F86F1242751FF5D4B14FAEE1DC29FFE15F18BF971F85EB062B8E3,D6A7C9BA6ECDC465AD4A0B1B680325C205345B9B3D4FEC62ABE39C2CC1C44C7D,G11 repaired formal artifact projection refresh
CUMCM-2001-A-006,CHANGED,1,EXPECTED,406C577CCC22BF44C1DFCF452A1FD93EA19D55E15144F9A1FC0BC5FC918C080D,ABDBF71816030814FB4BB3482D93B99B1D995C691347036CD1316B6D59B03567,G11 repaired formal artifact projection refresh
CUMCM-2001-A-007,CHANGED,1,EXPECTED,D27A4CEADDC52CA0E293FFD497B1A53AE534BB65967DE14B5149DA459E442507,E51C17B15762C32631EED876FAAB50CB637C1019D18012BD8841715E2AA350C3,G11 repaired formal artifact projection refresh
CUMCM-2001-A-008,CHANGED,1,EXPECTED,29CDF8EAB5EBCCEF5A2AE0A720FB64C0A02369F0CC619064A9533E318FE3B67C,62CAEE03899FA2BE3C858A79B63F6506DF99498DF53F7860DCDA8C44118D38D4,G11 repaired formal artifact projection refresh
CUMCM-2001-A-009,CHANGED,1,EXPECTED,F0849CE9393200CA48E7CCEF36643927F2046B652DA66415F59EC9A5CF06481E,8EBD21629F0519AC5B72FB69BA1125E034672625CA78904C299A1EF730C5D553,G11 repaired formal artifact projection refresh
CUMCM-2001-A-010,CHANGED,1,EXPECTED,4108FDD386C8908A60214CD855AF2E0E64AAE842F15853E125E899D7D2156694,F373B97F0DD6CB7FEA98403A9668EB46C9E0817DAA4878BD5932446181A06EC4,G11 repaired formal artifact projection refresh
