attempt_id,sequence_number,tool_kind,phase,paper_id,page_number,started_at,finished_at,duration_ms,timeout_seconds,exit_code,timed_out,status,stdout_bytes,stderr_bytes,stderr_tail,child_pid,cleanup_attempted,cleanup_success,descendant_cleanup_count
20260902T115340152779_a4c93a4d,704,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,71,2026-09-02T11:55:15.877930+00:00,2026-09-02T11:55:15.945441+00:00,68,180,0,0,SUCCESS,124,0,,18424,0,0,0
20260902T115340152779_a4c93a4d,705,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,71,2026-09-02T11:55:15.975817+00:00,2026-09-02T11:55:16.491516+00:00,516,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",54644,0,0,0
20260902T115340152779_a4c93a4d,706,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,72,2026-09-02T11:55:16.549458+00:00,2026-09-02T11:55:16.623621+00:00,74,180,0,0,SUCCESS,124,0,,43748,0,0,0
20260902T115340152779_a4c93a4d,707,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,72,2026-09-02T11:55:16.652820+00:00,2026-09-02T11:55:17.161287+00:00,508,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",46500,0,0,0
20260902T115340152779_a4c93a4d,708,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,73,2026-09-02T11:55:17.224140+00:00,2026-09-02T11:55:17.311728+00:00,88,180,0,0,SUCCESS,124,0,,18908,0,0,0
20260902T115340152779_a4c93a4d,709,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,73,2026-09-02T11:55:17.345454+00:00,2026-09-02T11:55:17.999972+00:00,655,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",34516,0,0,0
20260902T115340152779_a4c93a4d,710,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,74,2026-09-02T11:55:18.063719+00:00,2026-09-02T11:55:18.149201+00:00,85,180,0,0,SUCCESS,124,0,,24364,0,0,0
20260902T115340152779_a4c93a4d,711,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,74,2026-09-02T11:55:18.182796+00:00,2026-09-02T11:55:18.621660+00:00,439,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",37764,0,0,0
20260902T115340152779_a4c93a4d,712,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,75,2026-09-02T11:55:18.666788+00:00,2026-09-02T11:55:18.721930+00:00,55,180,0,0,SUCCESS,124,0,,42916,0,0,0
20260902T115340152779_a4c93a4d,713,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,75,2026-09-02T11:55:18.752546+00:00,2026-09-02T11:55:19.152633+00:00,400,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",53452,0,0,0
20260902T115340152779_a4c93a4d,714,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,76,2026-09-02T11:55:19.186609+00:00,2026-09-02T11:55:19.237597+00:00,51,180,0,0,SUCCESS,124,0,,54528,0,0,0
20260902T115340152779_a4c93a4d,715,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,76,2026-09-02T11:55:19.268781+00:00,2026-09-02T11:55:19.702003+00:00,433,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",8504,0,0,0
20260902T115340152779_a4c93a4d,716,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,77,2026-09-02T11:55:19.748423+00:00,2026-09-02T11:55:19.804635+00:00,56,180,0,0,SUCCESS,124,0,,19984,0,0,0
20260902T115340152779_a4c93a4d,717,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,77,2026-09-02T11:55:19.831983+00:00,2026-09-02T11:55:20.281363+00:00,449,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",52824,0,0,0
20260902T115340152779_a4c93a4d,718,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,78,2026-09-02T11:55:20.328116+00:00,2026-09-02T11:55:20.387125+00:00,59,180,0,0,SUCCESS,124,0,,35784,0,0,0
20260902T115340152779_a4c93a4d,719,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,78,2026-09-02T11:55:20.414722+00:00,2026-09-02T11:55:20.853434+00:00,439,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",34112,0,0,0
20260902T115340152779_a4c93a4d,720,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,79,2026-09-02T11:55:20.900264+00:00,2026-09-02T11:55:20.953501+00:00,53,180,0,0,SUCCESS,124,0,,54724,0,0,0
20260902T115340152779_a4c93a4d,721,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,79,2026-09-02T11:55:20.980748+00:00,2026-09-02T11:55:21.405379+00:00,425,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",16348,0,0,0
20260902T115340152779_a4c93a4d,722,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,80,2026-09-02T11:55:21.455942+00:00,2026-09-02T11:55:21.527252+00:00,71,180,0,0,SUCCESS,124,0,,36084,0,0,0
20260902T115340152779_a4c93a4d,723,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,80,2026-09-02T11:55:21.556700+00:00,2026-09-02T11:55:21.971262+00:00,415,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",49032,0,0,0
20260902T115340152779_a4c93a4d,724,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,81,2026-09-02T11:55:22.019451+00:00,2026-09-02T11:55:22.076764+00:00,57,180,0,0,SUCCESS,124,0,,30948,0,0,0
20260902T115340152779_a4c93a4d,725,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,81,2026-09-02T11:55:22.105230+00:00,2026-09-02T11:55:22.512139+00:00,407,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",33320,0,0,0
20260902T115340152779_a4c93a4d,726,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,82,2026-09-02T11:55:22.553392+00:00,2026-09-02T11:55:22.613679+00:00,60,180,0,0,SUCCESS,124,0,,47456,0,0,0
20260902T115340152779_a4c93a4d,727,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,82,2026-09-02T11:55:22.639597+00:00,2026-09-02T11:55:23.031811+00:00,392,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",11892,0,0,0
20260902T115340152779_a4c93a4d,728,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,83,2026-09-02T11:55:23.076637+00:00,2026-09-02T11:55:23.138843+00:00,62,180,0,0,SUCCESS,124,0,,37784,0,0,0
20260902T115340152779_a4c93a4d,729,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,83,2026-09-02T11:55:23.167015+00:00,2026-09-02T11:55:23.605391+00:00,438,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",47944,0,0,0
20260902T115340152779_a4c93a4d,730,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,84,2026-09-02T11:55:23.655625+00:00,2026-09-02T11:55:23.714186+00:00,59,180,0,0,SUCCESS,124,0,,40380,0,0,0
20260902T115340152779_a4c93a4d,731,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,84,2026-09-02T11:55:23.751228+00:00,2026-09-02T11:55:24.159188+00:00,408,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",1892,0,0,0
