batch_attempt_id,paper_id,page_count,page_order_monotonic,suspicious_adjacent_duplicate,page_text_quality_pass,body_quality_status,body_text_chars,opening_plausible,middle_continuity,ending_plausible,pass
20260902T181812821882_f3ed3664,CUMCM-2020-A-001,26,1,0,1,USABLE,28276,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-A-002,89,1,0,1,USABLE,65619,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-A-004,42,1,0,1,USABLE,41752,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-B-001,39,1,0,1,USABLE,41567,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-B-002,104,1,0,1,USABLE,123899,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-B-004,34,1,0,1,USABLE,29323,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-B-005,50,1,0,1,USABLE,58184,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-C-001,35,1,0,1,USABLE,39307,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-C-002,45,1,0,1,USABLE,48736,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-C-003,40,1,0,1,USABLE,40980,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-D-001,46,1,0,1,USABLE,37383,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-D-003,135,1,0,1,USABLE,86056,1,1,1,1
20260902T181812821882_f3ed3664,CUMCM-2020-D-004,77,1,0,1,USABLE,114868,1,1,1,1
