"paper_id","logical_page_number","page_class","text_layer_present","ocr_route_required","text_chars","text_sha256","rendered_for_classification","nonwhite_ratio"
"CUMCM-2013-D-001","19","TEXT_PAGE","1","0","580","53DAF354F879ED1C57EABBFEE12DDA26CF9AA0872C34AD56EB0A9F8EE66B0863","0",""
"CUMCM-2013-D-001","20","TEXT_PAGE","1","0","778","66A9742C80E211AD332AB33A9BD1E58818761808C11BED6DBE38A0A19B691995","0",""
"CUMCM-2013-D-001","21","TEXT_PAGE","1","0","942","75024FD21347EF41542B866DECC38F861329E2DFBEAC64C2487692744065A3D0","0",""
"CUMCM-2013-D-001","22","TEXT_PAGE","1","0","1197","29FDC201C86A635F4D7189955C94CC0671F6A3E9FE9E603C2CC351F4C7A98520","0",""
"CUMCM-2013-D-001","23","TEXT_PAGE","1","0","1576","7C53FB655AB1863B7CC08D667FCEDF23AB463AA47D6100457BBA1A1D1C867B83","0",""
"CUMCM-2013-D-001","24","TEXT_PAGE","1","0","1430","8E333BF1D23991A7360FF4BD20BF8345FC0D444C700ED01DB5F25DD4256529CF","0",""
"CUMCM-2013-D-001","25","TEXT_PAGE","1","0","1180","BEC33DA2FADD13EDAAAC65E988FE599B7443EA2CE6C9502937EA526418A8951C","0",""
"CUMCM-2013-D-001","26","TEXT_PAGE","1","0","1605","828619227D6153A08A982FD684BA017F9A86B141D9FF297E1CA41C104E26FA70","0",""
"CUMCM-2013-D-001","27","TEXT_PAGE","1","0","1958","63F12DAE2CE3C6873702A99737459BC149B2EA1B31D8B2499620204D505D8B01","0",""
"CUMCM-2013-D-001","28","TEXT_PAGE","1","0","1861","18E73FEF75973B027CBDC4B1CD733C8B823FE2ABCA8A8256A6AFC83ADB183B5A","0",""
"CUMCM-2013-D-001","29","TEXT_PAGE","1","0","1873","D7AA9D0F26557A29D82F4E582DE55119378BC96414DA5CBE14319BC1C397791E","0",""
"CUMCM-2013-D-001","30","TEXT_PAGE","1","0","1816","17803C3DA90F85FD89205DCA5E7930066B86E3C02DFEAB0A4317D3947BCBD64E","0",""
"CUMCM-2013-D-001","31","TEXT_PAGE","1","0","1895","40340D467B6B347FBE4B552B11292DFCC93262FDADC0FD238148AB09DA225AB3","0",""
"CUMCM-2013-D-001","32","TEXT_PAGE","1","0","1853","09F2CD8F3342D79E9D7C121C978894751280F1CCA5C542A3F0F64DD69FE8ABDB","0",""
"CUMCM-2013-D-001","33","TEXT_PAGE","1","0","1861","FC5048A0362FFA7C058FBC21644F6353EAA9CD849363C8DD8FE9175DF6F8A129","0",""
