paper_id,staged,stage_validated,promoted,post_promotion_validated,registry_registered,status,error_code,canonical_path,updated_at
CUMCM-2004-B-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2004-B-006,2026-09-03T07:15:38.677+00:00
CUMCM-2004-B-007,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2004-B-007,2026-09-03T07:15:38.677+00:00
CUMCM-2007-A-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-A-005,2026-09-03T07:15:38.677+00:00
CUMCM-2007-A-008,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-A-008,2026-09-03T07:15:38.677+00:00
CUMCM-2007-A-009,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-A-009,2026-09-03T07:15:38.677+00:00
CUMCM-2007-A-012,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-A-012,2026-09-03T07:15:38.677+00:00
CUMCM-2007-A-015,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-A-015,2026-09-03T07:15:38.677+00:00
CUMCM-2007-B-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-B-005,2026-09-03T07:15:38.677+00:00
CUMCM-2007-B-007,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-B-007,2026-09-03T07:15:38.677+00:00
CUMCM-2007-B-010,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-B-010,2026-09-03T07:15:38.677+00:00
CUMCM-2007-C-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-C-001,2026-09-03T07:15:38.677+00:00
CUMCM-2007-C-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-C-002,2026-09-03T07:15:38.677+00:00
CUMCM-2007-C-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-C-003,2026-09-03T07:15:38.677+00:00
CUMCM-2007-D-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-D-001,2026-09-03T07:15:38.677+00:00
CUMCM-2007-D-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2007-D-002,2026-09-03T07:15:38.677+00:00
CUMCM-2008-A-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2008-A-001,2026-09-03T07:15:38.677+00:00
CUMCM-2008-A-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2008-A-005,2026-09-03T07:15:38.677+00:00
CUMCM-2008-A-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2008-A-006,2026-09-03T07:15:38.677+00:00
CUMCM-2009-C-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2009-C-001,2026-09-03T07:15:38.677+00:00
CUMCM-2009-C-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2009-C-002,2026-09-03T07:15:38.677+00:00
CUMCM-2009-C-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2009-C-003,2026-09-03T07:15:38.677+00:00
CUMCM-2009-C-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2009-C-004,2026-09-03T07:15:38.677+00:00
CUMCM-2009-C-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2009-C-006,2026-09-03T07:15:38.677+00:00
CUMCM-2009-D-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2009-D-002,2026-09-03T07:15:38.677+00:00
CUMCM-2009-D-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2009-D-003,2026-09-03T07:15:38.677+00:00
CUMCM-2009-D-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2009-D-004,2026-09-03T07:15:38.677+00:00
CUMCM-2009-D-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2009-D-005,2026-09-03T07:15:38.677+00:00
CUMCM-2010-A-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2010-A-001,2026-09-03T07:15:38.677+00:00
CUMCM-2010-A-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2010-A-005,2026-09-03T07:15:38.677+00:00
CUMCM-2010-A-006,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2010-A-006,2026-09-03T07:15:38.677+00:00
CUMCM-2010-B-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2010-B-001,2026-09-03T07:15:38.677+00:00
CUMCM-2010-C-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2010-C-003,2026-09-03T07:15:38.677+00:00
CUMCM-2010-D-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2010-D-001,2026-09-03T07:15:38.677+00:00
CUMCM-2019-A-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-A-002,2026-09-03T07:15:38.677+00:00
CUMCM-2019-A-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-A-003,2026-09-03T07:15:38.677+00:00
CUMCM-2019-A-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-A-004,2026-09-03T07:15:38.677+00:00
CUMCM-2019-B-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-B-001,2026-09-03T07:15:38.677+00:00
CUMCM-2019-B-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-B-002,2026-09-03T07:15:38.677+00:00
CUMCM-2019-B-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-B-004,2026-09-03T07:15:38.677+00:00
CUMCM-2019-C-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-C-001,2026-09-03T07:15:38.677+00:00
CUMCM-2019-C-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-C-002,2026-09-03T07:15:38.677+00:00
CUMCM-2019-C-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-C-004,2026-09-03T07:15:38.677+00:00
CUMCM-2019-E-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-E-001,2026-09-03T07:15:38.677+00:00
CUMCM-2019-E-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-E-002,2026-09-03T07:15:38.677+00:00
CUMCM-2019-E-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2019-E-004,2026-09-03T07:15:38.677+00:00
CUMCM-2020-A-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-A-001,2026-09-03T07:15:38.677+00:00
CUMCM-2020-A-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-A-002,2026-09-03T07:15:38.677+00:00
CUMCM-2020-A-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-A-004,2026-09-03T07:15:38.677+00:00
CUMCM-2020-B-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-B-001,2026-09-03T07:15:38.677+00:00
CUMCM-2020-B-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-B-002,2026-09-03T07:15:38.677+00:00
CUMCM-2020-B-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-B-004,2026-09-03T07:15:38.677+00:00
CUMCM-2020-B-005,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-B-005,2026-09-03T07:15:38.677+00:00
CUMCM-2020-C-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-C-001,2026-09-03T07:15:38.677+00:00
CUMCM-2020-C-002,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-C-002,2026-09-03T07:15:38.677+00:00
CUMCM-2020-C-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-C-003,2026-09-03T07:15:38.677+00:00
CUMCM-2020-D-001,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-D-001,2026-09-03T07:15:38.677+00:00
CUMCM-2020-D-003,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-D-003,2026-09-03T07:15:38.677+00:00
CUMCM-2020-D-004,1,1,1,1,1,PROMOTED,,derived/scale/papers/CUMCM-2020-D-004,2026-09-03T07:15:38.677+00:00
