paper_id,artifact_type,artifact_path,artifact_size,artifact_sha256,source_sha256,effective_pdf_sha256,authoritative_text_sha256,generation_status,subject_type,artifact_eligible,quality,source_map_version,extraction_contract_version,status
CUMCM-2012-A-003,knowledge_card.md,derived/scale/papers/CUMCM-2012-A-003/knowledge_card.md,1633,9D1DBCD25358F9255B67B1B4F4597406DA5E2A34AAE962351715D403EEF74369,519FA35E0C76A094FFD89C38269F9BC1A9D1C491A8A675EF324F22705B28F1D5,C40455E13E66A460C39DAE91E660AF11E2BE0F61C1F03DB321571CEEDC4ED207,610F0A5D50127AC7FE481AE7E899A70F9D6F6CE906F4CE1EA63D708CF52EB122,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-B-005,paper.md,derived/scale/papers/CUMCM-2012-B-005/paper.md,46867,48BC69B06F90F1BF4BF3576C44A0BD04A2E9DECE995DD4BBD477753C25C832E2,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,F9F59407B33E60976DD4B86A6A897C0F1B0A8F0DA166337EBE76992CC2241465,F03824B665A5CE3EB577397F9D430E622ABED796697666C0DC1759D4CB879997,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-B-005,metadata.yaml,derived/scale/papers/CUMCM-2012-B-005/metadata.yaml,897,39E81EC3D3A938A0B73A06AAC7CA98364E3283970EE2FD90053502E5BE02B2F6,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,F9F59407B33E60976DD4B86A6A897C0F1B0A8F0DA166337EBE76992CC2241465,F03824B665A5CE3EB577397F9D430E622ABED796697666C0DC1759D4CB879997,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-B-005,knowledge_card.md,derived/scale/papers/CUMCM-2012-B-005/knowledge_card.md,1639,E3C04F98D02FBDF948D70C2E02667FC562A0EA5328129ABA3BDF09B3BAC8D97A,4357F1EB1DA91D0C65923D25AB6218F234C9F123A221DED8EE6318ECEC53CC05,F9F59407B33E60976DD4B86A6A897C0F1B0A8F0DA166337EBE76992CC2241465,F03824B665A5CE3EB577397F9D430E622ABED796697666C0DC1759D4CB879997,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-B-007,paper.md,derived/scale/papers/CUMCM-2012-B-007/paper.md,43493,E1815121DFB1C5D9CAA7ACC3379BE8E0F4013A1C55FAC5D1FD682FD1DFB4038A,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21,5FA66154AE4C96FF0D33F44E5A856DBA9CFA470EAA60AF13E3449ABA714B541C,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-B-007,metadata.yaml,derived/scale/papers/CUMCM-2012-B-007/metadata.yaml,830,560174959109D68135BF2961D2411F99447850425ED24BD7D6D207B4689293B0,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21,5FA66154AE4C96FF0D33F44E5A856DBA9CFA470EAA60AF13E3449ABA714B541C,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-B-007,knowledge_card.md,derived/scale/papers/CUMCM-2012-B-007/knowledge_card.md,1601,8C8922BB6068FD54A0F1A3DFA970B044D2102C007C16716B1D27BF438FC613AB,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21,5FA66154AE4C96FF0D33F44E5A856DBA9CFA470EAA60AF13E3449ABA714B541C,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-C-003,paper.md,derived/scale/papers/CUMCM-2012-C-003/paper.md,50113,9058FCB7EC77AC6B0B9E4AA9A1F4CD0DD32CF9BADCB92D8E6240460F78EEB596,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,1AF31EA4FE7E106AA9306E894B3471753F6077BF19A8A1F648A1E752E4CBC2E1,2DD0824E0E1A666010CDD0CCC48C0FBD75592D2F44B7EE3A7DFA2672010F6971,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-C-003,metadata.yaml,derived/scale/papers/CUMCM-2012-C-003/metadata.yaml,839,4393CC77CA6CDCE086D4133115195C7C765C054619712854C713962F03A2CD31,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,1AF31EA4FE7E106AA9306E894B3471753F6077BF19A8A1F648A1E752E4CBC2E1,2DD0824E0E1A666010CDD0CCC48C0FBD75592D2F44B7EE3A7DFA2672010F6971,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
CUMCM-2012-C-003,knowledge_card.md,derived/scale/papers/CUMCM-2012-C-003/knowledge_card.md,1635,8CDCB9AA5619138D45966A3E71A42579A414C2293A0E6A5BC921504FEF6C6D40,D3FCC8E0989C76486CBB665FBAC51F584EE1D8442012EFB49D6A50E3B45F2212,1AF31EA4FE7E106AA9306E894B3471753F6077BF19A8A1F648A1E752E4CBC2E1,2DD0824E0E1A666010CDD0CCC48C0FBD75592D2F44B7EE3A7DFA2672010F6971,REUSED_COMPLETE,PAPER,1,Q0,g8_doc_effective_pdf_closure_manifest.csv,g8-doc-authoritative-extraction-text-v1,PASS
