diagnostic_attempt_id,paper_id,page_number,primary_page_class,repair_overlay,authoritative_text_extractor,pdf_text_chars,pdf_inspector_quality_status,poppler_quality_status,ocr_required,ocr_target_pages,render_width,render_height,render_pixel_count,render_sha256
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,51,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[51],1191,1684,2005644,2BAD7A68981E4CA114C24FD5BF9D1CB9317357BEB97A9F63E56FCE0424571D98
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,52,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[52],1191,1684,2005644,9827CB29529439A6242197F542546B53A3B5411471E89AF96107E8030B6DB342
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,53,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[53],1191,1684,2005644,21BCBF9138A0148BA48E50497FCB242510237723E1CA258FF5F3DE392B7DCF67
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,54,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[54],1191,1684,2005644,2A0B5248FB1E1990A466E5CCDB8E106A8F7AD3A7DF876BE4D9D4D6045E09E82B
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,55,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[55],1191,1684,2005644,3DD8A6976AE96D1AC9486DBC781F05B21251E71D8ABE87994AB4385FB54E6BEA
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,56,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[56],1191,1684,2005644,D1995BE0AA023C94D51B94CFCC0B129A31F7F551C2D4B551874749F745C358BD
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,57,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[57],1191,1684,2005644,1645E1DF27A27911A7D39F5150604598D3898D2232D8C4B60C06DB662DDE4545
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,58,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[58],1191,1684,2005644,0C36D9BE3F76202813DBE0A7CEA0E152B073355F58802B2FD08D38E7E18CD064
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,59,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[59],1191,1684,2005644,1FB5E25FF579F9512DC66FBE8E50493E77152D43D83B7CB3908E3DF29A869B23
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,60,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[60],1191,1684,2005644,DF669938B96D3D6F52893A75B88A11FFD9096B6C455DE427DC04CA45BAB97627
20260902T130335889202_page_scoped_c6d2bda3,CUMCM-2020-B-002,61,TEXT_PAGE,TEXT_LAYER_CORRUPT_ENCODING,NONE,0,CORRUPT_ENCODING,LOW_INFORMATION,1,[61],1191,1684,2005644,1D0DB43692204289C1FFB95AFFE38245394C949648DEA85A0DDED1460F8C10E6
