paper_id,effective_pdf_sha256,logical_page_number,page_class,pdf_inspector_text_chars,poppler_text_chars,text_chars,text_sha256,evidence_source
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,24,TEXT_PAGE,808,792,808,1E7300E496033A241107777482E394F583A05D9FA2EE20686BBFE5418D5D147C,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,25,TEXT_PAGE,1037,1021,1037,354E7DEA43029722E11306C1AB238C0A42256B5895EFA630AC39896AFBA8BF25,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,26,TEXT_PAGE,854,838,854,EA228DA157E37DACF4F77C54A8EE8859D6EFBFDDE3DF27122C021FC4013C6318,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,27,TEXT_PAGE,1014,998,1014,06F9920E09B40E9F0C9AD5A61DED496264F1AD2DD462254DD798BE155612D2C5,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,28,TEXT_PAGE,1284,1268,1284,16257E7AF6680AD34D921FB93FD2B6D10F9FA61D0A7B476D31E98110A2166C33,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,29,TEXT_PAGE,668,652,668,E9E88696EBED874921EAA4369C880E1EB24116EA900BC2920222481AE1CE1892,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,30,TEXT_PAGE,1220,1204,1220,23D64615AEEE5C9D5C4D3290104A25FA7EAA5B374DF9E83C284A6B5928D41FCA,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,31,TEXT_PAGE,1170,1154,1170,B86DC0CCDAE90EECF23C9B75B9177488D9C00F960E463A2AB5A08BA2ACDACBA9,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,32,TEXT_PAGE,788,772,788,96A7C3DFEE51037393EF076E9E6752E1DE8FD6B2326F28FA77D10F1DBA1DC0E5,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,33,TEXT_PAGE,1053,1037,1053,6127D28D64FC215D3F10F8EE194DCD7D67E3064E6DEB57C94B962344EA2E3E79,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,34,TEXT_PAGE,954,938,954,08154BAC366126856443999774B2467BC85F42F9CA5082A3091E7E5B8A1DBD5B,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,35,TEXT_PAGE,1222,1206,1222,BBBE2A50CBF0AB3CD4D10D9B651683D5D2382ED4CFE4722194677C55146A16FC,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,36,TEXT_PAGE,703,687,703,5AF924B2F28D413CF1F70BE53AA48235A25B093E48505EC53E5D9E29D813AA21,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,37,TEXT_PAGE,1187,1171,1187,B4139A354E027AA3B7484BCC73C46F4186C3F1304B8174A7A164E4FCAD3FC4FE,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,38,TEXT_PAGE,775,759,775,2546864851DCB58FA169B6CB403616D56DC289CC88A8DF1E8AC83C8F7C3CE1B9,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,39,TEXT_PAGE,1160,1144,1160,B697B777D44716288C5B74594F9B9C0367B6A5D2C5197DD3638A9496F28C4F09,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,40,TEXT_PAGE,1159,1143,1159,D426740FFDBACA29C838D601B172B6A85EA6B65621CF97081A01E52325BD02AE,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,41,TEXT_PAGE,786,770,786,A0E905E4E40E9DCE5D58AA9C4CBD00B7F87FBFA0BDA7AE39A4304D02E366E4F0,REUSED
CUMCM-2011-C-002,064CD08E45796A9ADB27BAD2DFB5CFB457DCE57FD8ACFEAF5B1C3E3B1C51F7CB,42,TEXT_PAGE,157,141,157,D13F75D20CF80B1B1D397CDADA4D48DA30F52111952B38E197BC2F8E62764053,REUSED
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,1,TEXT_PAGE,972,956,972,7FA8A8025819D0BD99184C2F25756C56641D112A4C3DDF0F202969FC287221BB,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,2,TEXT_PAGE,1055,1039,1055,DF0BAF6D3BECE68B73A059C3C87480196E368E8B77992029E6EB0D79A9115143,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,3,TEXT_PAGE,683,657,683,FD0DFCCAC58B3926D5C4BC90B2443A768EDEA9FF1A58700D1FFC82C616DE4760,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,4,TEXT_PAGE,597,576,597,7DEEC202735978E9246DD50FAE49D6B1C5793AE82DCE4BFC789C47AF17CC8DF0,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,5,TEXT_PAGE,709,706,709,45F24924AA6784EDBC7EEB2E966DCC0879626EA7411FB0F0CBE12EAD43241842,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,6,TEXT_PAGE,848,836,848,06193FFFAEB74935C42D3854F27DB9E638130CC05AE31B5D08A9497F37B5ADB0,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,7,TEXT_PAGE,613,664,613,2C8ACCDC2324C34EF81E6C4E18A07C4395CB6D0A3DA4F636F24E3AAACFB59928,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,8,TEXT_PAGE,715,705,715,1EA99250DEB1ED667118515082568FE5E3E974426F0E07B1153E96B14F6A5106,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,9,TEXT_PAGE,759,747,759,6F093DCE3390A083364FE9B7DB7C377E5EF248A6DF828D0B6EB0862CE546EF9D,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,10,TEXT_PAGE,781,766,781,5B5495D2FA0C79914C45F4C98F9D045EAB8E7BE08668C45836C5A2D8514ABE0A,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
