"source_paper_id","target_paper_id","year","problem_code","common_files","evidence","reason","status"
"CUMCM-2021-B-B050","CUMCM-2021-B-B106","2021","B","28","Common filenames: B1, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B2, B20, B21, B22, B23, B24, B25, B26, B27, B28, B3, B4, B5, B6, B7, B8, B9","Common filenames found - needs verification","review"
"CUMCM-2021-E-E014","CUMCM-2021-E-E025","2021","E","39","Common filenames: E1, E10, E11, E12, E13, E14, E15, E16, E17, E18, E19, E2, E20, E21, E22, E23, E24, E25, E26, E27, E28, E29, E3, E30, E31, E32, E33, E34, E35, E36, E37, E38, E39, E4, E5, E6, E7, E8, E9","Common filenames found - needs verification","review"
"CUMCM-2021-E-E014","CUMCM-2021-E-E037","2021","E","37","Common filenames: E1, E10, E11, E12, E13, E14, E15, E16, E17, E18, E19, E2, E20, E21, E22, E23, E24, E25, E26, E27, E28, E29, E3, E30, E31, E32, E33, E34, E35, E36, E37, E4, E5, E6, E7, E8, E9","Common filenames found - needs verification","review"
"CUMCM-2021-E-E025","CUMCM-2021-E-E037","2021","E","37","Common filenames: E1, E10, E11, E12, E13, E14, E15, E16, E17, E18, E19, E2, E20, E21, E22, E23, E24, E25, E26, E27, E28, E29, E3, E30, E31, E32, E33, E34, E35, E36, E37, E4, E5, E6, E7, E8, E9","Common filenames found - needs verification","review"
"CUMCM-2021-C-C085","CUMCM-2021-C-C066","2021","C","56","Common filenames: C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C6, C7, C8, C9","Common filenames found - needs verification","review"
"CUMCM-2021-C-C085","CUMCM-2021-C-C283","2021","C","56","Common filenames: C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C6, C7, C8, C9","Common filenames found - needs verification","review"
"CUMCM-2021-C-C085","CUMCM-2021-C-C169","2021","C","51","Common filenames: C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C6, C7, C8, C9","Common filenames found - needs verification","review"
"CUMCM-2021-C-C066","CUMCM-2021-C-C283","2021","C","58","Common filenames: C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C6, C7, C8, C9","Common filenames found - needs verification","review"
"CUMCM-2021-C-C066","CUMCM-2021-C-C169","2021","C","51","Common filenames: C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C6, C7, C8, C9","Common filenames found - needs verification","review"
"CUMCM-2021-C-C283","CUMCM-2021-C-C169","2021","C","51","Common filenames: C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C6, C7, C8, C9","Common filenames found - needs verification","review"
"CUMCM-2021-D-D026","CUMCM-2021-D-D017","2021","D","21","Common filenames: D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9","Common filenames found - needs verification","review"
"CUMCM-2021-D-D026","CUMCM-2021-D-D034","2021","D","30","Common filenames: D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9","Common filenames found - needs verification","review"
"CUMCM-2021-D-D017","CUMCM-2021-D-D034","2021","D","21","Common filenames: D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D3, D4, D5, D6, D7, D8, D9","Common filenames found - needs verification","review"
"CUMCM-2021-A-A115","CUMCM-2021-A-A028","2021","A","35","Common filenames: A1, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A2, A20, A21, A22, A23, A24, A25, A26, A27, A28, A29, A3, A30, A31, A32, A33, A34, A35, A4, A5, A6, A7, A8, A9","Common filenames found - needs verification","review"
"CUMCM-2021-A-A115","CUMCM-2021-A-A217","2021","A","35","Common filenames: A1, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A2, A20, A21, A22, A23, A24, A25, A26, A27, A28, A29, A3, A30, A31, A32, A33, A34, A35, A4, A5, A6, A7, A8, A9","Common filenames found - needs verification","review"
"CUMCM-2021-A-A028","CUMCM-2021-A-A217","2021","A","38","Common filenames: A1, A10, A11, A12, A13, A14, A15, A16, A17, A18, A19, A2, A20, A21, A22, A23, A24, A25, A26, A27, A28, A29, A3, A30, A31, A32, A33, A34, A35, A36, A37, A38, A4, A5, A6, A7, A8, A9","Common filenames found - needs verification","review"
"CUMCM-2013-C-002","","2013","C","","Version indicator: v1","Version indicator found in filename","review"
"CUMCM-2013-C-008","","2013","C","","Version indicator: v1","Version indicator found in filename","review"
