archive_id,archive_path,compressed_size,is_directory,member_extension,member_path,uncompressed_size,unsafe_path
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,753,False,.bmp,71.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,772,False,.bmp,72.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,798,False,.bmp,73.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,828,False,.bmp,74.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,839,False,.bmp,75.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,845,False,.bmp,76.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,866,False,.bmp,77.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,834,False,.bmp,78.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,846,False,.bmp,79.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,312,False,.bmp,8.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,864,False,.bmp,80.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,834,False,.bmp,81.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,836,False,.bmp,82.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,807,False,.bmp,83.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,807,False,.bmp,84.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,803,False,.bmp,85.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,794,False,.bmp,86.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,799,False,.bmp,87.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,770,False,.bmp,88.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,782,False,.bmp,89.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,308,False,.bmp,9.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,782,False,.bmp,90.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,800,False,.bmp,91.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,805,False,.bmp,92.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,814,False,.bmp,93.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,808,False,.bmp,94.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,826,False,.bmp,95.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,825,False,.bmp,96.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,817,False,.bmp,97.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,824,False,.bmp,98.bmp,32830,False
file_86e4f65f0420ce45,2001年数学建模国赛真题+优秀论文/2001年赛题/A01bmp.zip,816,False,.bmp,99.bmp,32830,False
file_490dcc2626c92df1,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (1)/LINGO1.zip,1014,False,.lg4,LINGO1.lg4,7168,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,0,True,,2024国赛优秀论文,0,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,0,True,,2024国赛优秀论文/A题,0,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,0,True,,2024国赛优秀论文/A题/A016,0,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,184857,False,.jpg,2024国赛优秀论文/A题/A016/1.jpg,189656,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,135986,False,.jpg,2024国赛优秀论文/A题/A016/10.jpg,143437,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,74503,False,.jpg,2024国赛优秀论文/A题/A016/11.jpg,81991,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,112351,False,.jpg,2024国赛优秀论文/A题/A016/12.jpg,120070,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,88842,False,.jpg,2024国赛优秀论文/A题/A016/13.jpg,97093,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,72021,False,.jpg,2024国赛优秀论文/A题/A016/14.jpg,80044,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,73573,False,.jpg,2024国赛优秀论文/A题/A016/15.jpg,81147,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,105942,False,.jpg,2024国赛优秀论文/A题/A016/16.jpg,113570,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,84818,False,.jpg,2024国赛优秀论文/A题/A016/17.jpg,93672,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,104302,False,.jpg,2024国赛优秀论文/A题/A016/18.jpg,111182,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,87133,False,.jpg,2024国赛优秀论文/A题/A016/19.jpg,95589,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,157420,False,.jpg,2024国赛优秀论文/A题/A016/2.jpg,162658,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,79243,False,.jpg,2024国赛优秀论文/A题/A016/20.jpg,86745,False
file_5f57d4c1236eca7f,2024年数学建模国赛真题+优秀论文/2024国赛优秀论文/2024国赛优秀论文.zip,61255,False,.jpg,2024国赛优秀论文/A题/A016/21.jpg,69262,False
