paper_id,source_page,api_page_index,api_call_mode,text_chars,text_nonempty,needs_ocr_if_available,verified_blank_page,status
CUMCM-2025-A-A196,42,41,extract_text_in_regions_full_page,981,1,0,0,PASS
CUMCM-2025-A-A196,43,42,extract_text_in_regions_full_page,928,1,0,0,PASS
CUMCM-2025-A-A196,44,43,extract_text_in_regions_full_page,805,1,0,0,PASS
CUMCM-2025-A-A196,45,44,extract_text_in_regions_full_page,889,1,0,0,PASS
CUMCM-2025-A-A196,46,45,extract_text_in_regions_full_page,920,1,0,0,PASS
CUMCM-2025-A-A196,47,46,extract_text_in_regions_full_page,1144,1,0,0,PASS
CUMCM-2025-A-A196,48,47,extract_text_in_regions_full_page,1030,1,0,0,PASS
CUMCM-2025-A-A196,49,48,extract_text_in_regions_full_page,1176,1,0,0,PASS
CUMCM-2025-A-A196,50,49,extract_text_in_regions_full_page,1051,1,0,0,PASS
CUMCM-2025-A-A196,51,50,extract_text_in_regions_full_page,831,1,0,0,PASS
CUMCM-2025-A-A196,52,51,extract_text_in_regions_full_page,1104,1,0,0,PASS
CUMCM-2025-A-A196,53,52,extract_text_in_regions_full_page,1167,1,0,0,PASS
CUMCM-2025-A-A196,54,53,extract_text_in_regions_full_page,898,1,0,0,PASS
CUMCM-2025-A-A196,55,54,extract_text_in_regions_full_page,1135,1,0,0,PASS
CUMCM-2025-A-A196,56,55,extract_text_in_regions_full_page,1212,1,0,0,PASS
CUMCM-2025-A-A196,57,56,extract_text_in_regions_full_page,1203,1,0,0,PASS
CUMCM-2025-A-A196,58,57,extract_text_in_regions_full_page,1031,1,0,0,PASS
CUMCM-2025-A-A196,59,58,extract_text_in_regions_full_page,1113,1,0,0,PASS
CUMCM-2025-A-A196,60,59,extract_text_in_regions_full_page,900,1,0,0,PASS
CUMCM-2025-A-A196,61,60,extract_text_in_regions_full_page,800,1,0,0,PASS
CUMCM-2025-A-A196,62,61,extract_text_in_regions_full_page,1343,1,0,0,PASS
CUMCM-2025-A-A196,63,62,extract_text_in_regions_full_page,887,1,0,0,PASS
CUMCM-2025-A-A196,64,63,extract_text_in_regions_full_page,1112,1,0,0,PASS
CUMCM-2025-A-A196,65,64,extract_text_in_regions_full_page,1152,1,0,0,PASS
CUMCM-2025-A-A196,66,65,extract_text_in_regions_full_page,1012,1,0,0,PASS
CUMCM-2025-A-A196,67,66,extract_text_in_regions_full_page,1080,1,0,0,PASS
CUMCM-2025-A-A196,68,67,extract_text_in_regions_full_page,1252,1,0,0,PASS
CUMCM-2025-A-A196,69,68,extract_text_in_regions_full_page,1232,1,0,0,PASS
CUMCM-2025-A-A196,70,69,extract_text_in_regions_full_page,1262,1,0,0,PASS
CUMCM-2025-A-A196,71,70,extract_text_in_regions_full_page,1044,1,0,0,PASS
CUMCM-2025-A-A196,72,71,extract_text_in_regions_full_page,1051,1,0,0,PASS
CUMCM-2025-A-A196,73,72,extract_text_in_regions_full_page,832,1,0,0,PASS
CUMCM-2025-A-A196,74,73,extract_text_in_regions_full_page,1031,1,0,0,PASS
CUMCM-2025-A-A196,75,74,extract_text_in_regions_full_page,1419,1,0,0,PASS
CUMCM-2025-A-A196,76,75,extract_text_in_regions_full_page,874,1,0,0,PASS
CUMCM-2025-A-A196,77,76,extract_text_in_regions_full_page,1154,1,0,0,PASS
CUMCM-2025-A-A196,78,77,extract_text_in_regions_full_page,976,1,0,0,PASS
CUMCM-2025-A-A196,79,78,extract_text_in_regions_full_page,849,1,0,0,PASS
CUMCM-2025-A-A196,80,79,extract_text_in_regions_full_page,1260,1,0,0,PASS
CUMCM-2025-A-A196,81,80,extract_text_in_regions_full_page,1449,1,0,0,PASS
CUMCM-2025-A-A196,82,81,extract_text_in_regions_full_page,852,1,0,0,PASS
CUMCM-2025-A-A196,83,82,extract_text_in_regions_full_page,1008,1,0,0,PASS
CUMCM-2025-A-A196,84,83,extract_text_in_regions_full_page,1226,1,0,0,PASS
CUMCM-2025-A-A196,85,84,extract_text_in_regions_full_page,1124,1,0,0,PASS
CUMCM-2025-A-A196,86,85,extract_text_in_regions_full_page,852,1,0,0,PASS
CUMCM-2025-A-A196,87,86,extract_text_in_regions_full_page,1069,1,0,0,PASS
CUMCM-2025-A-A196,88,87,extract_text_in_regions_full_page,1048,1,0,0,PASS
CUMCM-2025-A-A196,89,88,extract_text_in_regions_full_page,934,1,0,0,PASS
CUMCM-2025-A-A196,90,89,extract_text_in_regions_full_page,976,1,0,0,PASS
CUMCM-2025-A-A196,91,90,extract_text_in_regions_full_page,1476,1,0,0,PASS
CUMCM-2025-A-A196,92,91,extract_text_in_regions_full_page,1626,1,0,0,PASS
CUMCM-2025-A-A196,93,92,extract_text_in_regions_full_page,960,1,0,0,PASS
CUMCM-2025-A-A196,94,93,extract_text_in_regions_full_page,1066,1,0,0,PASS
CUMCM-2025-A-A196,95,94,extract_text_in_regions_full_page,1093,1,0,0,PASS
CUMCM-2025-A-A196,96,95,extract_text_in_regions_full_page,824,1,0,0,PASS
CUMCM-2025-A-A196,97,96,extract_text_in_regions_full_page,1054,1,0,0,PASS
CUMCM-2025-A-A196,98,97,extract_text_in_regions_full_page,391,1,0,0,PASS
CUMCM-2025-B-B060,1,0,extract_text_in_regions_full_page,1461,1,0,0,PASS
CUMCM-2025-B-B060,2,1,extract_text_in_regions_full_page,1828,1,0,0,PASS
CUMCM-2025-B-B060,3,2,extract_text_in_regions_full_page,1719,1,0,0,PASS
CUMCM-2025-B-B060,4,3,extract_text_in_regions_full_page,829,1,0,0,PASS
CUMCM-2025-B-B060,5,4,extract_text_in_regions_full_page,1053,1,0,0,PASS
CUMCM-2025-B-B060,6,5,extract_text_in_regions_full_page,904,1,0,0,PASS
CUMCM-2025-B-B060,7,6,extract_text_in_regions_full_page,844,1,0,0,PASS
CUMCM-2025-B-B060,8,7,extract_text_in_regions_full_page,1664,1,0,0,PASS
CUMCM-2025-B-B060,9,8,extract_text_in_regions_full_page,1076,1,0,0,PASS
CUMCM-2025-B-B060,10,9,extract_text_in_regions_full_page,805,1,0,0,PASS
CUMCM-2025-B-B060,11,10,extract_text_in_regions_full_page,774,1,0,0,PASS
CUMCM-2025-B-B060,12,11,extract_text_in_regions_full_page,1397,1,0,0,PASS
CUMCM-2025-B-B060,13,12,extract_text_in_regions_full_page,1011,1,0,0,PASS
CUMCM-2025-B-B060,14,13,extract_text_in_regions_full_page,714,1,0,0,PASS
CUMCM-2025-B-B060,15,14,extract_text_in_regions_full_page,1491,1,0,0,PASS
CUMCM-2025-B-B060,16,15,extract_text_in_regions_full_page,967,1,0,0,PASS
CUMCM-2025-B-B060,17,16,extract_text_in_regions_full_page,1604,1,0,0,PASS
CUMCM-2025-B-B060,18,17,extract_text_in_regions_full_page,1257,1,0,0,PASS
CUMCM-2025-B-B060,19,18,extract_text_in_regions_full_page,1046,1,0,0,PASS
CUMCM-2025-B-B060,20,19,extract_text_in_regions_full_page,651,1,0,0,PASS
CUMCM-2025-B-B060,21,20,extract_text_in_regions_full_page,394,1,0,0,PASS
CUMCM-2025-B-B060,22,21,extract_text_in_regions_full_page,603,1,0,0,PASS
CUMCM-2025-B-B060,23,22,extract_text_in_regions_full_page,462,1,0,0,PASS
CUMCM-2025-B-B060,24,23,extract_text_in_regions_full_page,640,1,0,0,PASS
CUMCM-2025-B-B060,25,24,extract_text_in_regions_full_page,1395,1,0,0,PASS
CUMCM-2025-B-B060,26,25,extract_text_in_regions_full_page,536,1,0,0,PASS
CUMCM-2025-B-B060,27,26,extract_text_in_regions_full_page,1071,1,0,0,PASS
CUMCM-2025-B-B060,28,27,extract_text_in_regions_full_page,1291,1,0,0,PASS
CUMCM-2025-B-B060,29,28,extract_text_in_regions_full_page,1479,1,0,0,PASS
CUMCM-2025-B-B060,30,29,extract_text_in_regions_full_page,1716,1,0,0,PASS
CUMCM-2025-B-B060,31,30,extract_text_in_regions_full_page,271,1,0,0,PASS
CUMCM-2025-B-B060,32,31,extract_text_in_regions_full_page,520,1,0,0,PASS
CUMCM-2025-B-B060,33,32,extract_text_in_regions_full_page,1314,1,0,0,PASS
CUMCM-2025-B-B060,34,33,extract_text_in_regions_full_page,952,1,0,0,PASS
CUMCM-2025-B-B060,35,34,extract_text_in_regions_full_page,1167,1,0,0,PASS
CUMCM-2025-B-B060,36,35,extract_text_in_regions_full_page,1029,1,0,0,PASS
CUMCM-2025-B-B060,37,36,extract_text_in_regions_full_page,1289,1,0,0,PASS
CUMCM-2025-B-B060,38,37,extract_text_in_regions_full_page,990,1,0,0,PASS
CUMCM-2025-B-B060,39,38,extract_text_in_regions_full_page,1528,1,0,0,PASS
CUMCM-2025-B-B060,40,39,extract_text_in_regions_full_page,1209,1,0,0,PASS
CUMCM-2025-B-B060,41,40,extract_text_in_regions_full_page,1422,1,0,0,PASS
CUMCM-2025-B-B060,42,41,extract_text_in_regions_full_page,1412,1,0,0,PASS
CUMCM-2025-B-B060,43,42,extract_text_in_regions_full_page,1272,1,0,0,PASS
CUMCM-2025-B-B060,44,43,extract_text_in_regions_full_page,1141,1,0,0,PASS
CUMCM-2025-B-B060,45,44,extract_text_in_regions_full_page,1317,1,0,0,PASS
CUMCM-2025-B-B060,46,45,extract_text_in_regions_full_page,1169,1,0,0,PASS
CUMCM-2025-B-B060,47,46,extract_text_in_regions_full_page,1310,1,0,0,PASS
CUMCM-2025-B-B060,48,47,extract_text_in_regions_full_page,1158,1,0,0,PASS
CUMCM-2025-B-B060,49,48,extract_text_in_regions_full_page,1206,1,0,0,PASS
CUMCM-2025-B-B060,50,49,extract_text_in_regions_full_page,1299,1,0,0,PASS
CUMCM-2025-B-B060,51,50,extract_text_in_regions_full_page,1410,1,0,0,PASS
CUMCM-2025-B-B060,52,51,extract_text_in_regions_full_page,1158,1,0,0,PASS
CUMCM-2025-B-B060,53,52,extract_text_in_regions_full_page,1231,1,0,0,PASS
CUMCM-2025-B-B060,54,53,extract_text_in_regions_full_page,1064,1,0,0,PASS
CUMCM-2025-B-B060,55,54,extract_text_in_regions_full_page,1373,1,0,0,PASS
CUMCM-2025-B-B060,56,55,extract_text_in_regions_full_page,1387,1,0,0,PASS
CUMCM-2025-B-B060,57,56,extract_text_in_regions_full_page,1195,1,0,0,PASS
CUMCM-2025-B-B060,58,57,extract_text_in_regions_full_page,1128,1,0,0,PASS
CUMCM-2025-B-B060,59,58,extract_text_in_regions_full_page,1179,1,0,0,PASS
CUMCM-2025-B-B060,60,59,extract_text_in_regions_full_page,1231,1,0,0,PASS
CUMCM-2025-B-B060,61,60,extract_text_in_regions_full_page,1088,1,0,0,PASS
CUMCM-2025-B-B060,62,61,extract_text_in_regions_full_page,1197,1,0,0,PASS
CUMCM-2025-B-B060,63,62,extract_text_in_regions_full_page,1054,1,0,0,PASS
CUMCM-2025-B-B060,64,63,extract_text_in_regions_full_page,1145,1,0,0,PASS
CUMCM-2025-B-B060,65,64,extract_text_in_regions_full_page,1102,1,0,0,PASS
CUMCM-2025-B-B060,66,65,extract_text_in_regions_full_page,1299,1,0,0,PASS
CUMCM-2025-B-B060,67,66,extract_text_in_regions_full_page,884,1,0,0,PASS
CUMCM-2025-B-B060,68,67,extract_text_in_regions_full_page,1157,1,0,0,PASS
CUMCM-2025-B-B060,69,68,extract_text_in_regions_full_page,1319,1,0,0,PASS
CUMCM-2025-B-B060,70,69,extract_text_in_regions_full_page,1228,1,0,0,PASS
CUMCM-2025-B-B060,71,70,extract_text_in_regions_full_page,12,0,0,0,MISSING_PAGE_TEXT
CUMCM-2025-B-B060,72,71,extract_text_in_regions_full_page,965,1,0,0,PASS
CUMCM-2025-C-C023,1,0,extract_text_in_regions_full_page,1866,1,0,0,PASS
CUMCM-2025-C-C023,2,1,extract_text_in_regions_full_page,1283,1,0,0,PASS
