paper_id,source_page,original_file_path,original_sha256,readable_file_path,readable_sha256,pdf_inspector_page_chars,poppler_page_chars,pdf_inspector_status,poppler_status,verified_blank_page,final_page_class,classification_evidence,status
CUMCM-2025-A-A066,40,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,859,858,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=40 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,41,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,981,991,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=41 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,42,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,739,750,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=42 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,43,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,689,698,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=43 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,44,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,683,701,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=44 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,45,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,727,758,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=45 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,46,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,966,976,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=46 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,47,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,857,877,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=47 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,48,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,1027,1032,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=48 uses 1-based numbering.,PASS
CUMCM-2025-A-A066,49,2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,derived/pilot/pdf_ocr/2025/A066.readable.pdf,DE5A8EFC16F27962652645721EA0C799603DA93CEAD0ED5673B44AB8946778F4,696,729,TEXT_PAGE,TEXT_PAGE,0,TEXT_PAGE,Poppler pdftotext returned meaningful page-scoped text; source_page=49 uses 1-based numbering.,PASS
