paper_id,artifact_type,artifact_path,artifact_sha256,subject_type,artifact_eligible,source_map_version,extraction_contract_version,status
CUMCM-2025-A-A066,knowledge_card.md,derived/pilot/papers/CUMCM-2025-A-A066/knowledge_card.md,C7B61C6381D775F5A31DACD784A4EE71AD696BED88E4CDAEF84ABBBE4BA99E0D,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-A-A066,metadata.yaml,derived/pilot/papers/CUMCM-2025-A-A066/metadata.yaml,A713C30D00C4DEADBFB88A21B408140F6C51D150E764A676597DD7263B9FBBD5,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-A-A066,paper.md,derived/pilot/papers/CUMCM-2025-A-A066/paper.md,EE4594F942FAE453E6634EAFBF2ECA8D2DCC189CEAEDDFFF777FF567F4A6D821,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-A-A196,knowledge_card.md,derived/pilot/papers/CUMCM-2025-A-A196/knowledge_card.md,39DE3416988E73E18A5D91A226D93F3F6CF7F2CE10B77723889DE0D98F307F71,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-A-A196,metadata.yaml,derived/pilot/papers/CUMCM-2025-A-A196/metadata.yaml,4F5585A251B46DD184BAEC8776D6615B3CD5B880CC867159802F18DD20570FF5,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-A-A196,paper.md,derived/pilot/papers/CUMCM-2025-A-A196/paper.md,597400307FF559FAEE97A0DB056FD2A77800F94B8D6593C07B2EBD9DEA6253AB,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-B-B060,knowledge_card.md,derived/pilot/papers/CUMCM-2025-B-B060/knowledge_card.md,E761057445C1DE6561B13F90070D60F1EB2EB2E6040FDBE22E123F6FC42D1793,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-B-B060,metadata.yaml,derived/pilot/papers/CUMCM-2025-B-B060/metadata.yaml,1F8589BAA607211ED89EA57B2B2DE6EC44FCB782471706ED9A3A7125F94B9761,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-B-B060,paper.md,derived/pilot/papers/CUMCM-2025-B-B060/paper.md,988207BBD2B7A8AEB6E44757DF74A04BCBB435D21361EE10691F2C7FC600C8EF,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-C-C023,knowledge_card.md,derived/pilot/papers/CUMCM-2025-C-C023/knowledge_card.md,0579E1915AE5EB9D358AC237E8F6126AC2B5448E9A13DB5649790543E4762147,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-C-C023,metadata.yaml,derived/pilot/papers/CUMCM-2025-C-C023/metadata.yaml,68BF7A60E5F6B766421A66D393F9231C13ABBCB0B9B55A602420F1FBBF86CC6D,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-C-C023,paper.md,derived/pilot/papers/CUMCM-2025-C-C023/paper.md,D663BF6F9267A5EE40432EC56A2E59A430984623E56FDD8EE718C3AE4972192E,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-C-C132,knowledge_card.md,derived/pilot/papers/CUMCM-2025-C-C132/knowledge_card.md,22F36EAD5128FB6F5BA015626A0F43AF36894667348F0FEFBE2EBD738FC38EF7,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-C-C132,metadata.yaml,derived/pilot/papers/CUMCM-2025-C-C132/metadata.yaml,5F7C618E340913994BC72F760FB2F81BD22290D059C73B82ABE0B961597F7F02,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-C-C132,paper.md,derived/pilot/papers/CUMCM-2025-C-C132/paper.md,B39E09434B0D509948CC19291FA48BD04DE4218861A8F5141C73A148EEDD0052,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-D-D037,knowledge_card.md,derived/pilot/papers/CUMCM-2025-D-D037/knowledge_card.md,FD5063774A27DE1F2F22D71FC61B9451635D56F055DA319AF20114CF1DE69C17,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-D-D037,metadata.yaml,derived/pilot/papers/CUMCM-2025-D-D037/metadata.yaml,133F68C2CB5979DEF0ACF2171F1BAF462F8CAF2AB6F03492E8D09C23D7B6CE63,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-D-D037,paper.md,derived/pilot/papers/CUMCM-2025-D-D037/paper.md,4A5F87082873B1A5EC9865ADA6A47B620DA8D8AD13FB052F97C3AA22CFF597D6,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-E-E030,knowledge_card.md,derived/pilot/papers/CUMCM-2025-E-E030/knowledge_card.md,BBC14AE670F5E17A021CFF0AD47B629A3983FCB234103C5B605A0881A109EF50,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-E-E030,metadata.yaml,derived/pilot/papers/CUMCM-2025-E-E030/metadata.yaml,C7B28A06C8EB5219CEB3E2E5B5D8303883706585413BA85E182D30BBC17816B9,PAPER,1,g6_file_source_map.csv,1,PASS
CUMCM-2025-E-E030,paper.md,derived/pilot/papers/CUMCM-2025-E-E030/paper.md,A2DF58B2B6763A27EB4E4F165A1CA441658B2ACD7AE5EA06AA01721540D7B784,PAPER,1,g6_file_source_map.csv,1,PASS
